symbol,policy,allow_open,allow_reopen,allow_double_down,allow_sell,reason,evidence_source,review_after,updated_at
AXS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.5900 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BACC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.2801 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BAYA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.8954 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BBCQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.7465 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCAL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.8116 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCAR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.3061 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCAT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.5919 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.8155 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BCSS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.9143 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BDCI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6668 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BDJ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.3765 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BEAG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.5594 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BFS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.3193 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BFST,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.6969 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.4367 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGH,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.5075 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.3929 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BGY,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.5961 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BHF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.4700 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BHRB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4573 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIII,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6913 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIO.B,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.8817 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.0997 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIXI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6667 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BKH,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7858 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BKHA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.9887 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BKT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.3732 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BLUW,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.9666 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BLW,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.2744 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BLZR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6565 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BME,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.3156 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BMEZ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.5860 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BMN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.1752 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BMY,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8651 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BNL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4838 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BNS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.9897 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BOE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.3380 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BPAC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7541 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRK.B,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.0867 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.2783 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRW,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.5072 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRX,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8948 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BSBK,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.6075 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BSL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.5855 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BTO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4613 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BTT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.5294 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BTZ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.7301 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BUI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4526 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BUSE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7489 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BVFL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.3083 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BWG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.4351 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BXMT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.8840 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
